boro,zipcode,businesses,cafe,pawn,debt,cig,total_select_bus,hpdA,hpdB,hpdC,hpdTotal,negativeRodent,positiveRodent,total,violation,misdemeanor,felony,population,pop_per_sq_mile
Queens,11358,360,,,,,,222,807,221,1250,271,250,10542,1354,5306,3882,38647,19661.6
Queens,11360,108,,,,,,43,119,25,187,54,69,,,,,19350,12040.46
Queens,11365,235,,,,,,257,398,131,786,217,166,12927,1810,6817,4300,41566,17380.05
Queens,11366,142,,,,,,24,97,43,164,149,104,7181,762,3778,2641,13366,18341.01
Queens,11367,210,1,0,0,22,23,673,2313,519,3505,246,214,15240,2306,7866,5068,38216,20384.04
Queens,11412,188,,,,,,457,2228,741,3426,1310,717,19565,2638,9311,7616,37452,19681.64
Queens,11423,252,,,,,,386,2015,544,2945,591,397,13279,1958,6498,4823,31240,19366.77
Queens,11432,554,,,,,,1147,4221,1271,6639,1650,3941,33456,4520,18435,10501,57045,26065.18
Queens,11433,251,,,,,,539,2476,1034,4049,2163,1781,31127,4156,15399,11572,28435,18129.86
Queens,11434,368,,,,,,594,2487,847,3928,1683,876,26233,3369,13372,9492,59142,19683.46
Queens,11435,482,1,5,0,58,64,938,3350,1021,5309,2099,3718,23884,3135,11888,8861,53877,35207.72
Queens,11436,137,,,,,,121,786,313,1220,812,435,17065,1758,8384,6923,18148,21578.65
Queens,11101,518,8,2,1,64,75,715,2182,611,3508,1785,3566,31797,4134,17989,9674,25595,9029.74
Queens,11102,306,10,0,1,38,49,669,2059,549,3277,312,251,15471,2250,8544,4677,36291,44416.74
Queens,11103,429,28,1,0,56,85,835,2400,762,3997,959,4167,14515,1783,8340,4392,44321,62111.19
Queens,11104,220,5,1,0,36,42,768,2861,626,4255,350,269,6603,1088,3447,2068,29506,74459.01
Queens,11105,361,25,1,0,36,62,644,1852,639,3135,323,308,13703,1854,7620,4229,42117,25956.3
Queens,11106,320,15,1,0,52,68,708,2260,719,3687,721,1640,21496,2987,11821,6688,43130,49707.26
Queens,11374,281,2,3,1,33,39,748,2040,423,3211,383,304,14589,1484,8897,4208,44189,48499.11
Queens,11375,422,11,2,2,50,65,764,2266,505,3535,443,414,24465,2887,13329,8249,70204,26784.05
Queens,11379,338,1,0,0,27,28,212,612,133,957,340,507,6409,920,3560,1929,28984,15242.36
Queens,11385,952,,,,,,2939,8535,2539,14013,4383,11888,55298,7065,31879,16354,97524,26384.56
Queens,11691,177,,,,,,2020,6422,2151,10593,747,548,35123,5955,18501,10667,56184,13164.72
Queens,11692,59,,,,,,849,2563,449,3861,226,137,13595,2429,6984,4182,15893,15061.65
Queens,11693,80,,,,,,194,682,214,1090,147,102,1214,199,687,328,11157,4421.44
Queens,11694,146,1,0,0,23,24,355,862,172,1389,121,209,12023,2094,6459,3470,19278,12713.02
Queens,11697,20,,,,,,4,12,1,17,,,644,79,286,279,,
Queens,11004,101,,,,,,5,65,35,105,73,76,3702,468,1815,1419,14682,14388.66
Queens,11411,96,,,,,,49,353,89,491,296,168,5358,692,2501,2165,21282,17687.64
Queens,11413,209,,,,,,189,1138,544,1871,819,467,20486,2541,9885,8060,39827,13046.46
Queens,11422,153,,,,,,110,662,282,1054,311,222,10641,1521,4856,4264,30449,4873.21
Queens,11426,173,,,,,,4,45,16,65,163,209,4128,526,2028,1574,18727,11552.09
