11757-0602	1
11757-6062	1
11758	14
11760	1
11762	6
11763	11
11764	1
11766	7
11766-0402	2
11767	5
11768	4
11771	6
11772	9
11772-3518	2
117723518	1
11774	1
11776	41
11777	2
11778	2
11779	22
11780	2
11782	2
11783	2
11784	5
11787	4
11787-2921	1
11788	28
11789	1
11790	2
11791	28
11791-3416	4
11791-9036	4
11792	1
11793	23
11794	1
11795	3
11796	2
11797	42
11797 9004	1
11797-0004	1
11797-1016	1
11797-2016	1
11797-9001	5
11797-9004	14
11797-9012	4
11798	1
11801	28
11802	11
11802-9060	7
11803	38
11804	4
11804-9005	3
11808	1
1182-9060	1
118288	1
11841	1
11861	1
11901	5
1191-3416	1
11933	1
11934	1
11948	1
11949	1
11951	1
11959	2
11963	4
11964	1
11967	1
11968	1
11973-5000	1
11980	1
12000	1
12024	1
12033	1
12046	1
1207	1
12071	1
1208	1
12202	2
12203	6
12204	2
12205	1
12206	2
12207	1
12209	1
12211	1
12212	2
12212-5019	1
12212-5368	1
12214	1
12222	28
12250	1
12255	5
12303	1
12304	1
12309	1
12344	1
12345	9
12398	1
12401	1
12402-5240	1
12428	1
12508	1
12515	1
12518	1
12524	2
12528	1
12533	1
12540	1
12549	1
12550	7
12550-0831	2
12551	3
12553	3
12589	1
12590	7
12590-8900	3
12601	3
12602-0550	1
12603	1
12701	1
12721	1
12779	1
12787	1
12788	1
12790	2
12814	1
12865	1
12917	1
12941-0129	1
1305	1
13057	1
13088	1
13088-5342	2
13202	1
13203	1
13221	3
133221	1
13350	1
13440	1
13480	1
13490	1
13502	1
13580	1
13614	1
13615	1
1373	1
13756	1
13790	1
13820	1
13850-3770	1
13851	1
13905	2
14009	5
14009-0158	1
14020	1
1404	1
14043	2
14051	2
14052	2
14068	3
14068-1602	1
14094	1
14108	1
14120	5
14127	2
14132	2
14132-9097	1
1414	1
1420	1
142002	1
14202	4
14203	4
14206	8
14206-2317	4
14208	1
14209	3
14210	21
14211	1
14217	2
14218	1
14220	1
14221	22
14221-5783	1
14221-7820	1
14222	1
14223	1
14225	12
14226	4
14228	14
14231	4
14231-9016	2
14231-9054	1
14240	2
14240-0846	2
14301	1
14304	5
14304-1745	1
14305	1
